RA,Dec
17 53 54.741, -34 45 09.72
17 53 23.494, -34 53 42.37
17 53 45.473, -34 47 08.48
17 53 19.549, -34 43 50.83
17 53 58.129, -34 49 51.36
17 54 14.410, -34 43 38.67
17 54 22.091, -34 52 42.31
17 53 44.143, -34 47 39.25
17 53 34.822, -34 51 54.44
17 53 46.994, -34 50 47.07
17 54 13.042, -34 49 24.45
17 53 36.850, -34 44 12.81
17 54 06.142, -34 45 42.14
17 53 04.664, -34 45 39.63
17 54 35.341, -34 51 27.33
17 54 03.846, -34 44 06.06
17 53 44.960, -34 45 43.61
17 53 07.496, -34 44 51.94
17 53 30.245, -34 45 34.49
17 53 32.695, -34 46 00.80
17 53 11.616, -34 49 40.15
17 54 10.782, -34 47 58.54
17 54 27.231, -34 46 42.19
17 53 44.236, -34 49 54.23
17 53 28.289, -34 53 57.74
17 53 33.072, -34 45 14.26
17 54 13.896, -34 50 46.77
17 54 33.562, -34 44 56.16
17 53 29.479, -34 44 28.35
17 53 30.792, -34 48 58.84
17 54 10.300, -34 47 17.53
17 53 37.479, -34 49 06.14
17 53 45.318, -34 48 53.99
17 53 33.084, -34 45 00.65
17 53 51.411, -34 53 41.40
17 53 45.373, -34 46 36.50
17 53 44.884, -34 50 37.46
17 54 32.120, -34 45 13.46
17 54 06.004, -34 47 57.60
17 54 34.514, -34 45 40.82
17 53 08.948, -34 45 52.14
17 53 01.612, -34 48 01.97